date,ws30,wd30,ws50,wd50,ws70,wd70,t_50,p_50,load
2022-01-02 00:00:00,6.49,246.11,7.13,247.87,7.55,248.16,2.31,1017.07,46.969
2022-01-02 00:15:00,6.72,243.48,7.35,245.33,7.76,245.56,2.22,1017.14,55.544
2022-01-02 00:30:00,7.03,241.77,7.66,243.55,8.07,243.67,2.12,1017.21,40.109
2022-01-02 00:45:00,7.26,241.9,7.89,243.44,8.31,243.39,2.03,1017.3,43.223
2022-01-02 01:00:00,7.74,242.54,8.37,243.89,8.79,243.73,1.94,1017.39,50.473
2022-01-02 01:15:00,8.04,243.56,8.67,244.8,9.09,244.59,1.83,1017.5,56.874
2022-01-02 01:30:00,8.31,244.66,8.96,245.85,9.38,245.65,1.72,1017.62,55.607
2022-01-02 01:45:00,8.7,245.09,9.35,246.25,9.79,246.07,1.6,1017.74,57.395
2022-01-02 02:00:00,9.47,244.88,10.15,245.96,10.6,245.8,1.47,1017.87,53.56
2022-01-02 02:15:00,9.48,243.54,10.15,244.48,10.59,244.31,1.34,1018.01,76.176
2022-01-02 02:30:00,9.42,240.51,10.07,241.16,10.51,240.9,1.21,1018.15,59.902
2022-01-02 02:45:00,9.45,235.75,10.08,235.96,10.51,235.5,1.07,1018.29,59.802
2022-01-02 03:00:00,9.6,228.92,10.21,228.82,10.63,228.22,0.92,1018.43,59.704
2022-01-02 03:15:00,9.65,219.75,10.25,219.49,10.65,218.83,0.77,1018.58,65.091
2022-01-02 03:30:00,9.54,207.97,10.11,207.69,10.51,207.03,0.62,1018.73,82.541
2022-01-02 03:45:00,9.57,194.91,10.14,194.49,10.53,193.8,0.48,1018.88,87.47
2022-01-02 04:00:00,9.63,182.49,10.19,181.82,10.57,181.02,0.35,1019.04,92.192
2022-01-02 04:15:00,9.72,171.39,10.27,170.33,10.64,169.34,0.22,1019.21,84.105
2022-01-02 04:30:00,9.7,162.11,10.25,160.62,10.62,159.44,0.11,1019.39,87.142
2022-01-02 04:45:00,9.71,154.38,10.25,152.49,10.62,151.13,-0.0,1019.58,100.228
2022-01-02 05:00:00,9.69,147.65,10.24,145.45,10.6,143.95,-0.11,1019.77,99.818
2022-01-02 05:15:00,9.55,141.99,10.09,139.63,10.45,138.07,-0.21,1019.97,102.252
2022-01-02 05:30:00,9.43,137.42,9.96,135.08,10.31,133.6,-0.3,1020.18,98.198
2022-01-02 05:45:00,9.31,133.88,9.84,131.56,10.19,130.11,-0.39,1020.4,92.326
2022-01-02 06:00:00,9.22,131.39,9.74,129.19,10.08,127.84,-0.48,1020.62,82.807
2022-01-02 06:15:00,9.09,130.09,9.6,128.09,9.94,126.87,-0.56,1020.84,74.249
2022-01-02 06:30:00,8.93,130.11,9.44,128.36,9.77,127.3,-0.64,1021.07,79.032
2022-01-02 06:45:00,8.84,129.81,9.33,128.33,9.66,127.4,-0.72,1021.29,87.206
2022-01-02 07:00:00,8.65,129.11,9.13,127.76,9.45,126.9,-0.79,1021.5,84.184
2022-01-02 07:15:00,8.54,127.58,9.01,126.28,9.32,125.41,-0.85,1021.7,82.575
2022-01-02 07:30:00,8.51,125.03,8.97,123.73,9.28,122.83,-0.9,1021.88,83.093
2022-01-02 07:45:00,8.36,121.97,8.81,120.65,9.11,119.7,-0.94,1022.05,75.791
2022-01-02 08:00:00,8.3,119.52,8.75,118.13,9.04,117.1,-0.97,1022.21,67.053
2022-01-02 08:15:00,8.2,117.53,8.62,116.02,8.9,114.87,-0.99,1022.36,69.809
2022-01-02 08:30:00,8.06,115.88,8.47,114.21,8.74,112.92,-1.0,1022.49,69.076
2022-01-02 08:45:00,8.02,114.47,8.41,112.51,8.67,110.99,-1.0,1022.62,72.53
2022-01-02 09:00:00,7.91,113.77,8.28,111.53,8.53,109.81,-0.99,1022.72,72.29
2022-01-02 09:15:00,7.79,113.58,8.15,111.13,8.38,109.25,-0.96,1022.81,72.306
2022-01-02 09:30:00,7.63,113.6,7.97,111.04,8.2,109.08,-0.93,1022.88,64.826
2022-01-02 09:45:00,7.57,113.4,7.88,110.98,8.1,109.11,-0.88,1022.94,60.745
2022-01-02 10:00:00,7.41,115.15,7.71,113.03,7.92,111.37,-0.84,1022.97,55.441
2022-01-02 10:15:00,7.35,119.07,7.63,117.35,7.82,115.94,-0.8,1022.99,52.01
2022-01-02 10:30:00,7.23,125.3,7.5,124.02,7.67,122.9,-0.76,1022.98,47.365
2022-01-02 10:45:00,7.08,132.75,7.33,132.03,7.5,131.27,-0.72,1022.95,47.848
2022-01-02 11:00:00,6.96,141.58,7.19,141.47,7.35,141.09,-0.68,1022.9,47.483
