date,rad,load
2022/6/1 0:00,0,0
2022/6/1 0:15,0,0
2022/6/1 0:30,0,0
2022/6/1 0:45,0,0
2022/6/1 1:00,0,0
2022/6/1 1:15,0,0
2022/6/1 1:30,0,0
2022/6/1 1:45,0,0
2022/6/1 2:00,0,0
2022/6/1 2:15,0,0
2022/6/1 2:30,0,0
2022/6/1 2:45,0,0
2022/6/1 3:00,0,0
2022/6/1 3:15,0,0
2022/6/1 3:30,0,0
2022/6/1 3:45,0,0
2022/6/1 4:00,0,0
2022/6/1 4:15,0,0
2022/6/1 4:30,0,0
2022/6/1 4:45,0,0
2022/6/1 5:00,0,0
2022/6/1 5:15,0,0
2022/6/1 5:30,0,0
2022/6/1 5:45,0,0
2022/6/1 6:00,0,0
2022/6/1 6:15,0,0
2022/6/1 6:30,3.89,0
2022/6/1 6:45,13.21,0.178
2022/6/1 7:00,31.01,0.27
2022/6/1 7:15,53.13,0.639
2022/6/1 7:30,79.79,0.717
2022/6/1 7:45,109.72,1.044
2022/6/1 8:00,141.59,1.456
2022/6/1 8:15,174.04,1.428
2022/6/1 8:30,206.91,1.598
2022/6/1 8:45,241.69,2.252
2022/6/1 9:00,272.92,3.041
2022/6/1 9:15,302.01,3.161
2022/6/1 9:30,329.68,4.241
2022/6/1 9:45,355.81,3.907
2022/6/1 10:00,385.69,3.907
2022/6/1 10:15,410.5,5.371
2022/6/1 10:30,433.34,7.225
2022/6/1 10:45,454.32,7.473
2022/6/1 11:00,475.1,6.585
2022/6/1 11:15,497.35,9.243
2022/6/1 11:30,512.99,11.431
2022/6/1 11:45,529.13,8.006
2022/6/1 12:00,542.94,9.47
2022/6/1 12:15,553.35,11.495
2022/6/1 12:30,562.4,10.251
2022/6/1 12:45,551.92,9.988
2022/6/1 13:00,545.56,6.166
2022/6/1 13:15,532.63,6.365
2022/6/1 13:30,518.48,6.031
2022/6/1 13:45,495.65,6.031
2022/6/1 14:00,480.12,6.365
2022/6/1 14:15,461.96,5.129
2022/6/1 14:30,446.43,4.81
2022/6/1 14:45,424.46,6.884
2022/6/1 15:00,405.52,9.37
2022/6/1 15:15,382.11,5.15
2022/6/1 15:30,356.17,3.573
2022/6/1 15:45,341.31,3.417
2022/6/1 16:00,327.76,4.17
2022/6/1 16:15,310.42,5.634
2022/6/1 16:30,292.48,7.289
2022/6/1 16:45,274.19,5.889
2022/6/1 17:00,257.42,5.207
2022/6/1 17:15,233.46,6.905
2022/6/1 17:30,214.23,8.006
2022/6/1 17:45,192.09,8.042
2022/6/1 18:00,172.43,3.453
2022/6/1 18:15,153.28,2.714
2022/6/1 18:30,133.29,1.627
2022/6/1 18:45,123.53,1.684
2022/6/1 19:00,113.04,1.392
2022/6/1 19:15,97.45,0.789
2022/6/1 19:30,82.97,0.497
2022/6/1 19:45,65.69,0.313
2022/6/1 20:00,50.18,0.234
2022/6/1 20:15,34.43,0.185
2022/6/1 20:30,19.83,0
2022/6/1 20:45,9.57,0
2022/6/1 21:00,6.98,0
2022/6/1 21:15,0,0
2022/6/1 21:30,0,0
2022/6/1 21:45,0,0
2022/6/1 22:00,0,0
2022/6/1 22:15,0,0
2022/6/1 22:30,0,0
2022/6/1 22:45,0,0
2022/6/1 23:00,0,0
2022/6/1 23:15,0,0
2022/6/1 23:30,0,0
2022/6/1 23:45,0,0
2022/6/2 0:00,0,0
2022/6/2 0:15,0,0
2022/6/2 0:30,0,0
2022/6/2 0:45,0,0
2022/6/2 1:00,0,0
2022/6/2 1:15,0,0
2022/6/2 1:30,0,0
2022/6/2 1:45,0,0
2022/6/2 2:00,0,0
2022/6/2 2:15,0,0
2022/6/2 2:30,0,0
2022/6/2 2:45,0,0
2022/6/2 3:00,0,0
2022/6/2 3:15,0,0
2022/6/2 3:30,0,0
2022/6/2 3:45,0,0
2022/6/2 4:00,0,0
2022/6/2 4:15,0,0
2022/6/2 4:30,0,0
2022/6/2 4:45,0,0
2022/6/2 5:00,0,0
2022/6/2 5:15,0,0
2022/6/2 5:30,0,0
2022/6/2 5:45,0,0
2022/6/2 6:00,0,0
2022/6/2 6:15,0,0
2022/6/2 6:30,4.73,0
2022/6/2 6:45,6.77,0
2022/6/2 7:00,13.31,0
